reporting_year,reporting_entity,facility_name,row_type,state,grid_connected,grid,primary_fuel,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,jv_double_counted,important_notes
2014-15,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,On,NEM,Wind,567719.0,157700.0,19.0,293.0,312,0.0,False,N/A
2014-15,ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,On,NEM,Solar,213115.0,59199.0,0.0,15.0,15,0.0,False,N/A
2014-15,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,On,NEM,Wind,2461803.0,683834.0,77.0,1144.0,1221,0.0,False,N/A
2014-15,ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,3242637.0,900733.0,96.0,1452.0,1548,,False,N/A
2014-15,AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,On,NEM,Hydro,137094.0,38082.0,5.0,17.0,22,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,On,NEM,Black Coal,50275548.0,13965430.0,12253123.0,8306.0,12261429,0.88,False,N/A
2014-15,AGL ENERGY LIMITED,Bogong Power Station,F,VIC,On,NEM,Hydro,266917.0,74144.0,83.0,839.0,922,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,On,NEM,Hydro,27428.0,7619.0,1.0,97.0,98,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Clover Hydro,F,VIC,On,NEM,Hydro,151368.0,42047.0,3.0,51.0,54,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,On,NEM,Gas,91666.0,25463.0,19260.0,86.0,19346,0.76,False,N/A
2014-15,AGL ENERGY LIMITED,Copeton Hydro,F,NSW,On,NEM,Hydro,139785.0,38829.0,1.0,75.0,76,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,On,NEM,Hydro,1608089.0,446691.0,0.0,727.0,727,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Eildon Hydro,F,VIC,On,NEM,Hydro,710341.0,197317.0,20.0,153.0,173,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,On,NEM,Hydro,42254.0,11737.0,0.0,16.0,16,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,On,NEM,Landfill Gas,43117.0,11977.0,745.0,1.0,746,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,On,NEM,Wind,1136668.0,315741.0,135.0,217.0,352,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,On,NEM,Wind,858516.0,238477.0,85.0,187.0,272,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,On,NEM,Wind,1543714.0,428809.0,133.0,360.0,493,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,On,NEM,Wind,489049.0,135847.0,75.0,175.0,250,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,On,NEM,Landfill Gas,27374.0,7604.0,427.0,0.0,427,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,On,NEM,Gas,901.0,250.0,355.0,869.0,1224,1.42,False,N/A
2014-15,AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,On,NEM,Landfill Gas,14613.0,4059.0,238.0,5.0,243,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Liddell Power Station,F,NSW,On,NEM,Black Coal,24864251.0,6906736.0,6514993.0,46355.0,6561348,0.94,False,N/A
2014-15,AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,On,NEM,Brown Coal,58415084.0,16226412.0,18508708.0,268516.0,18777224,1.14,False,N/A
2014-15,AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,On,NEM,Wind,3589748.0,997152.0,371.0,2655.0,3026,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,On,NEM,Hydro,317552.0,88209.0,0.0,6185.0,6185,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,On,NEM,Coal Seam Methane,82912.0,23031.0,12327.0,1142.0,13469,0.54,False,N/A
2014-15,AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,On,NEM,Solar,33769.0,9380.0,9.0,59.0,68,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,On,NEM,Wind,526539.0,146261.0,68.0,637.0,705,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,On,SWIS,Landfill Gas,77364.0,21490.0,1320.0,6.0,1326,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,On,NEM,Hydro,167206.0,46446.0,0.0,47.0,47,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,On,NEM,Landfill Gas,19739.0,5483.0,356.0,8.0,364,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Somerton Power Station,F,VIC,On,NEM,Gas,37669.0,10464.0,8378.0,2036.0,10414,0.8,False,N/A
2014-15,AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,QLD,On,NEM,Macadamia Nut Shells,3091.0,859.0,38.0,69.0,107,0.04,False,N/A
2014-15,AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,On,NEM,Gas/Diesel,6057169.0,1682547.0,983263.0,15130.0,998393,0.58,False,N/A
2014-15,AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,On,NEM,Wind,937578.0,260438.0,49.0,229.0,278,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,On,NEM,Biogas,196824.0,54673.0,2902.0,1498.0,4400,0.05,False,N/A
2014-15,AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,On,NEM,Hydro,422961.0,117489.0,0.0,1709.0,1709,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,Off,Off-grid,Solar,3172.0,881.0,624.0,0.0,624,0.71,False,N/A
2014-15,AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,On,NEM,Landfill Gas,31209.0,8669.0,469.0,2.0,471,0.05,False,N/A
2014-15,AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,On,NEM,Hydro,180662.0,50184.0,0.0,46.0,46,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Corporate Total,C,N/A,N/A,N/A,N/A,153528941.0,42646928.0,38308564.0,358510.0,38667074,,False,N/A
2014-15,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,On,SWIS,Gas,5900732.0,1639092.0,1301720.0,246.0,1301966,0.79,False,N/A
2014-15,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,F,WA,On,SWIS,Gas/Diesel,637048.0,176958.0,111432.0,6229.0,117661,0.63,False,N/A
2014-15,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,VIC,On,NEM,Brown Coal,4536940.0,1260261.0,1374358.0,411.0,1374769,1.09,False,N/A
2014-15,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,11074720.0,3076311.0,2787510.0,6886.0,2794396,,False,N/A
2014-15,ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,SA,On,NEM,Brown Coal,9524596.0,2645721.0,2734413.0,7994.0,2742407,1.03,False,N/A
2014-15,ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,VIC,On,NEM,Gas,539356.0,149821.0,81092.0,1008.0,82100,0.54,False,N/A
2014-15,ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,QLD,On,NEM,Coal Seam Methane,7907969.0,2196658.0,1243347.0,829.0,1244176,0.57,False,N/A
2014-15,ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,WA,Off,Off-grid,Gas,832806.0,231335.0,138146.0,0.0,138146,0.6,False,N/A
2014-15,ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,WA,On,NWIS,Gas,1763554.0,489876.0,388562.0,0.0,388562,0.79,False,N/A
2014-15,ALINTA ENERGY FINANCE PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,20568281.0,5713411.0,4585560.0,9831.0,4595391,,False,N/A
2014-15,APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,On,SWIS,Wind,913852.0,253848.0,91.0,343.0,434,0.0,False,N/A
2014-15,APT PIPELINES LIMITED,Corporate Total,C,N/A,N/A,N/A,N/A,913852.0,253848.0,91.0,343.0,434,,False,N/A
2014-15,ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,On,NEM,Coal Seam Methane,9370735.0,2602982.0,1530289.0,854.0,1531143,0.59,False,N/A
2014-15,ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,9370735.0,2602982.0,1530289.0,854.0,1531143,,False,N/A
2014-15,ATCO AUSTRALIA PTY. LTD.,Bulwer Island Energy Partnership facility,F,QLD,On,NEM,Gas,,,126378.0,45354.0,171732,,False,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications."
2014-15,ATCO AUSTRALIA PTY. LTD.,Karratha Power Station,F,WA,On,NWIS,Gas,1706994.0,474165.0,270985.0,0.0,270985,0.57,False,N/A
2014-15,ATCO AUSTRALIA PTY. LTD.,Osborne facility,F,SA,On,NEM,Gas,,,608632.0,167.0,608799,,False,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications."
2014-15,ATCO AUSTRALIA PTY. LTD.,Corporate Total,C,N/A,N/A,N/A,N/A,1706994.0,474165.0,1005995.0,45521.0,1051516,,False,N/A
2014-15,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Belmont Administration & Kalamunda Facility,FA,WA,On,SWIS,Liquid Fuel,20.0,6.0,19.0,18.0,37,3.42,False,N/A
2014-15,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Canning Vale Facility,F,WA,On,SWIS,Landfill Gas,2380.0,661.0,36.0,10.0,46,0.05,False,N/A
2014-15,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Red Hill Facility,F,WA,On,SWIS,Landfill Gas,91876.0,25521.0,1277.0,1.0,1278,0.05,False,N/A
2014-15,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Tamala Park Facility,F,WA,On,SWIS,Landfill Gas,114770.0,31881.0,1588.0,2.0,1590,0.05,False,N/A
2014-15,AUSTRALIAN CAPITAL EQUITY PTY LIMITED,Corporate Total,C,N/A,N/A,N/A,N/A,209046.0,58068.0,2920.0,31.0,2951,,False,N/A
2014-15,AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,On,NEM,Gas,3486738.0,968538.0,460102.0,0.0,460102,0.48,False,N/A
2014-15,AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,3486738.0,968538.0,460102.0,0.0,460102,,False,N/A
2014-15,BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,QLD,On,NEM,Gas,2754361.0,765100.0,333565.0,526.0,334091,0.44,False,N/A
2014-15,BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Corporate Total,C,N/A,N/A,N/A,N/A,2754361.0,765100.0,333565.0,526.0,334091,,False,N/A
2014-15,BHP BILLITON IRON ORE PTY. LTD.,Yarnima Power Station IOP,F,WA,Off,Off-grid,Gas,1652126.0,458924.0,307351.0,0.0,307351,0.67,False,N/A
2014-15,BHP BILLITON IRON ORE PTY. LTD.,Corporate Total,C,N/A,N/A,N/A,N/A,1652126.0,458924.0,307351.0,0.0,307351,,False,N/A
2014-15,BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,On,SWIS,Black Coal,6025829.0,1673841.0,1482015.0,2327.0,1484342,0.89,False,N/A
2014-15,BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,6025829.0,1673841.0,1482015.0,2327.0,1484342,,False,N/A
2014-15,BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,On,SWIS,Black Coal,6078158.0,1688377.0,1377635.0,1775.0,1379410,0.82,False,N/A
2014-15,BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,6078158.0,1688377.0,1377635.0,1775.0,1379410,,False,N/A
2014-15,BPIH PTY LIMITED,Brookfield District Energy (GX) Pty Ltd,F,NSW,On,NEM,Gas,78204.0,21723.0,11861.0,22049.0,33910,0.55,False,N/A
2014-15,BPIH PTY LIMITED,Corporate Total,C,N/A,N/A,N/A,N/A,78204.0,21723.0,11861.0,22049.0,33910,,False,N/A
2014-15,CANUNDA POWER PTY LTD,Canunda Wind Farm,F,SA,On,NEM,Wind,445274.0,123687.0,17.0,156.0,173,0.0,False,N/A
2014-15,CANUNDA POWER PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,445274.0,123687.0,17.0,156.0,173,,False,N/A
2014-15,CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,On,NEM,Bagasse,643940.0,178872.0,6032.0,1423.0,7455,0.03,False,N/A
2014-15,CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,On,NEM,Bagasse,375693.0,104359.0,3007.0,1687.0,4694,0.03,False,N/A
2014-15,CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,1019633.0,283231.0,9039.0,3110.0,12149,,False,N/A
2014-15,CLARKE ENERGY (AUSTRALIA) PTY. LTD.,Daandine Power Station,F,QLD,On,NEM,Coal Seam Methane,,,125058.0,0.0,125058,,False,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications."
2014-15,CLARKE ENERGY (AUSTRALIA) PTY. LTD.,Corporate Total,C,N/A,N/A,N/A,N/A,,,125058.0,0.0,125058,,False,N/A
2014-15,CONTRACT POWER AUSTRALIA PTY LTD,FMG Cloud Break Mine Site Power Station,F,WA,Off,Off-grid,Diesel,643454.0,178737.0,110575.0,0.0,110575,0.62,False,N/A
2014-15,CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,WA,Off,Off-grid,Diesel,50926.0,14146.0,10193.0,0.0,10193,0.72,False,N/A
2014-15,CONTRACT POWER AUSTRALIA PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,694380.0,192883.0,120768.0,0.0,120768,,False,N/A
2014-15,CS ENERGY LIMITED,Callide A Power Station,F,QLD,On,NEM,Black Coal,362952.0,100820.0,123177.0,43885.0,167062,1.22,False,N/A
2014-15,CS ENERGY LIMITED,Callide B Power Station,F,QLD,On,NEM,Black Coal,12706326.0,3529535.0,3285158.0,34530.0,3319688,0.93,False,N/A
2014-15,CS ENERGY LIMITED,Callide C Power Station,F,QLD,On,NEM,Black Coal,19988727.0,5552424.0,4961514.0,20952.0,4982466,0.89,True,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made."
2014-15,CS ENERGY LIMITED,Kogan Creek Power Station,F,QLD,On,NEM,Black Coal,20633364.0,5731490.0,4761463.0,2411.0,4763874,0.83,False,N/A
2014-15,CS ENERGY LIMITED,Wivenhoe Power Station,F,QLD,On,NEM,Hydro,72877.0,20244.0,23.0,50466.0,50489,0.0,False,N/A
2014-15,CS ENERGY LIMITED,Corporate Total,C,N/A,N/A,N/A,N/A,53764246.0,14934513.0,13131335.0,152244.0,13283579,,False,N/A
2014-15,CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,On,SWIS,Wind,2566405.0,712890.0,227.0,611.0,838,0.0,False,N/A
2014-15,CWF HOLDINGS PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,2566405.0,712890.0,227.0,611.0,838,,False,N/A
2014-15,CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,F,NSW,On,NEM,Wind,751603.0,208779.0,55.0,720.0,775,0.0,False,N/A
2014-15,CWP RENEWABLES PTY LTD,Taralga Wind Farm Pty Ltd,F,NSW,On,NEM,Wind,265563.0,73768.0,20.0,128.0,148,0.0,False,N/A
2014-15,CWP RENEWABLES PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,1017166.0,282546.0,75.0,848.0,923,,False,N/A
2014-15,DELTA ELECTRICITY,Brown Mountain Power Station,F,NSW,On,NEM,Hydro,48431.0,13453.0,6.0,0.0,6,0.0,False,N/A
2014-15,DELTA ELECTRICITY,Colongra PS,F,NSW,On,NEM,Gas,258467.0,71796.0,41565.0,3913.0,45478,0.58,False,N/A
2014-15,DELTA ELECTRICITY,Vales Point Power Station,F,NSW,On,NEM,Black Coal,24972675.0,6936854.0,6020229.0,47711.0,6067940,0.87,False,N/A
2014-15,DELTA ELECTRICITY,Corporate Total,C,N/A,N/A,N/A,N/A,25279573.0,7022104.0,6061800.0,51624.0,6113424,,False,N/A
2014-15,DIAMANTINA HOLDING COMPANY PTY LIMITED,Diamantina Power Station,F,QLD,On,Mt Isa,Gas,5410680.0,1502967.0,613667.0,95.0,613762,0.41,False,N/A
2014-15,DIAMANTINA HOLDING COMPANY PTY LIMITED,Corporate Total,C,N/A,N/A,N/A,N/A,5410680.0,1502967.0,613667.0,95.0,613762,,False,N/A
2014-15,ECOGEN HOLDINGS PTY LTD,Jeeralang Power Station,F,VIC,On,NEM,Gas,79794.0,22165.0,15640.0,6730.0,22370,0.71,False,N/A
2014-15,ECOGEN HOLDINGS PTY LTD,Newport Power Station,F,VIC,On,NEM,Gas,342893.0,95248.0,52641.0,24749.0,77390,0.55,False,N/A
2014-15,ECOGEN HOLDINGS PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,422687.0,117413.0,68281.0,31479.0,99760,,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Albany Wind Farm,F,WA,On,SWIS,Wind,347600.0,96556.0,13.0,7.0,20,0.0,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel System,FA,WA,On,SWIS,Wind/Diesel,6664.0,1851.0,220.0,3.0,223,0.12,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,WA,On,SWIS,Gas,2369340.0,658150.0,260404.0,0.0,260404,0.4,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station,F,WA,On,SWIS,Black Coal,8061797.0,2239388.0,2024283.0,3244.0,2027527,0.9,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel System,FA,WA,Off,Off-grid,Wind/Diesel,12118.0,3366.0,1813.0,0.0,1813,0.54,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,F,WA,Off,Off-grid,Wind,6871.0,1909.0,0.0,1.0,1,0.0,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,F,WA,Off,Off-grid,Wind,52851.0,14681.0,0.0,8.0,8,0.0,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Geraldton Gas Turbine Station,F,WA,On,SWIS,Gas,80.0,22.0,29.0,0.0,29,1.31,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel System,FA,WA,Off,Off-grid,Wind/Diesel,19713.0,5476.0,2671.0,0.0,2671,0.49,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Photovoltaic,F,WA,On,SWIS,Solar,81.0,23.0,0.0,4.0,4,0.0,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,WA,On,SWIS,Wind,15140.0,4206.0,0.0,6.0,6,0.0,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,On,SWIS,Gas,6739.0,1872.0,1751.0,0.0,1751,0.94,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,WA,On,SWIS,Gas,3520116.0,977810.0,602488.0,700.0,603188,0.62,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,WA,On,SWIS,Black Coal,13831474.0,3842076.0,3744318.0,1655.0,3745973,0.97,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,WA,On,SWIS,Gas,348804.0,96890.0,82909.0,0.0,82909,0.86,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,WA,On,SWIS,Gas,1670548.0,464041.0,376980.0,0.0,376980,0.81,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,South West Cogeneration Joint Venture,F,WA,On,SWIS,Gas,3568929.0,991369.0,623890.0,37.0,623927,0.63,False,N/A
2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,Corporate Total,C,N/A,N/A,N/A,N/A,33838865.0,9399685.0,7721769.0,5665.0,7727434,,False,N/A
2014-15,ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,On,SWIS,Liquid Fuel,701.0,195.0,138.0,0.0,138,0.71,False,N/A
2014-15,ELECTRICITY NETWORKS CORPORATION,Corporate Total,C,N/A,N/A,N/A,N/A,701.0,195.0,138.0,0.0,138,,False,N/A
2014-15,ENERGEX LIMITED,Energy Impact - Bromelton Peak Generation Plant,F,QLD,On,NEM,Liquid Fuel,6745.0,1874.0,1402.0,427.0,1829,0.75,False,N/A
2014-15,ENERGEX LIMITED,Energy Impact - Generation,F,QLD,On,NEM,Liquid Fuel,4125.0,1146.0,799.0,0.0,799,0.7,False,N/A
2014-15,ENERGEX LIMITED,Corporate Total,C,N/A,N/A,N/A,N/A,10870.0,3019.0,2201.0,427.0,2628,,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Appin CSM Power Station,F,NSW,On,NEM,Coal Seam Methane,588901.0,163584.0,124621.0,85.0,124706,0.76,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Ardyaloon Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,6385.0,1774.0,1275.0,0.0,1275,0.72,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Beagle Bay Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,5835.0,1621.0,1151.0,0.0,1151,0.71,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Belrose and Grange Avenue LFG Power Stations,FA,NSW,On,NEM,Landfill Gas,46595.0,12943.0,815.0,6.0,821,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Berwick LFG Power Station,F,VIC,On,NEM,Landfill Gas,86977.0,24160.0,1539.0,810.0,2349,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Bidyadanga Remote Power Staiton,F,WA,Off,Off-grid,Liquid Fuel,10466.0,2907.0,2094.0,0.0,2094,0.72,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Broadmeadows LFG Power Station,F,VIC,On,NEM,Landfill Gas,69413.0,19281.0,1230.0,10.0,1240,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Brooklyn LFG Power Station,F,VIC,On,NEM,Landfill Gas,61195.0,16999.0,1054.0,5.0,1059,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Broome LNG Power Station,F,WA,Off,Off-grid,Gas/Diesel,485698.0,134916.0,82255.0,0.0,82255,0.61,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Browns Plains LFG Power Station,F,QLD,On,NEM,Landfill Gas,40383.0,11218.0,712.0,4.0,716,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Century Power Station,FA,QLD,On,Mt Isa,Diesel,4393.0,1220.0,848.0,0.0,848,0.69,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Clayton LFG Power Station,F,VIC,On,NEM,Landfill Gas,290315.0,80643.0,4503.0,321.0,4824,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Coober Pedy Remote Power Station,F,SA,Off,Off-grid,Diesel,42860.0,11906.0,8348.0,0.0,8348,0.7,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Cue Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,6804.0,1890.0,1363.0,0.0,1363,0.72,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Derby LNG Power Station,F,WA,Off,Off-grid,Gas/Diesel,128739.0,35761.0,18528.0,0.0,18528,0.52,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Djarandjin Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,5837.0,1621.0,1157.0,0.0,1157,0.71,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Eastern Creek LFG Power Station,F,NSW,On,NEM,Landfill Gas,58449.0,16236.0,931.0,3.0,934,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,EDL LFG (VIC),FA,VIC,On,NEM,Landfill Gas,28317.0,7866.0,502.0,7.0,509,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Fitzroy Crossing LNG Power Station,F,WA,Off,Off-grid,Gas/Diesel,52066.0,14463.0,7074.0,0.0,7074,0.49,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Gascoyne Junction Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,2847.0,791.0,603.0,0.0,603,0.76,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,German Creek CMM Power Station,F,QLD,On,NEM,Waste Coal Mine Gas,1101467.0,305963.0,166630.0,0.0,166630,0.54,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Glennies Creek Power Station,F,NSW,On,NEM,Waste Coal Mine Gas,326588.0,90719.0,53189.0,5.0,53194,0.59,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Halls Creek LNG Power Station,F,WA,Off,Off-grid,Gas/Diesel,41237.0,11455.0,6357.0,0.0,6357,0.55,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Highbury and Tea Tree Gully Power Stations,FA,SA,On,NEM,Landfill Gas,12141.0,3373.0,220.0,42.0,262,0.07,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Jacks Gully LFG Power Station,F,NSW,On,NEM,Landfill Gas,56366.0,15657.0,991.0,1.0,992,0.06,False,N/A
2014-15,ENERGY DEVELOPMENTS LIMITED,Karumba Power Station,F,QLD,Off,Off-grid,Diesel,51753.0,14376.0,9935.0,8.0,9943,0.69,False,N/A
